Cross Section Length,DNA Height
nm,nm
150 mv,116.0 pN
0,-0.041
0.105,-0.041
0.211,-0.046
0.316,-0.051
0.421,-0.042
0.526,-0.036
0.632,-0.038
0.737,-0.041
0.842,-0.045
0.948,-0.046
1.053,-0.056
1.158,-0.048
1.263,-0.049
1.369,-0.05
1.474,-0.056
1.579,-0.053
1.685,-0.06
1.79,-0.057
1.895,-0.063
2,-0.059
2.106,-0.067
2.211,-0.064
2.316,-0.054
2.422,-0.039
2.527,-0.028
2.632,-0.024
2.737,-0.023
2.843,-0.023
2.948,-0.018
3.053,-0.017
3.159,-0.018
3.264,-0.024
3.369,-0.018
3.474,-0.004
3.58,-0.001
3.685,-0.002
3.79,-0.008
3.896,-0.013
4.001,-0.005
4.106,-0.004
4.211,0
4.317,-0.006
4.422,0.005
4.527,0
4.633,-0.001
4.738,-0.005
4.843,-0.008
4.948,-0.016
5.054,-0.021
5.159,-0.02
5.264,-0.01
5.37,-0.006
5.475,-0.017
5.58,-0.021
5.685,-0.028
5.791,-0.022
5.896,-0.023
6.001,0.016
6.107,0.023
6.212,0.077
6.317,0.124
6.422,0.182
6.528,0.219
6.633,0.264
6.738,0.348
6.844,0.434
6.949,0.472
7.054,0.525
7.159,0.589
7.265,0.659
7.37,0.722
7.475,0.79
7.581,0.93
7.686,1.047
7.791,1.14
7.896,1.219
8.002,1.274
8.107,1.303
8.212,1.324
8.318,1.324
8.423,1.333
8.528,1.352
8.633,1.375
8.739,1.371
8.844,1.366
8.949,1.356
9.055,1.351
9.16,1.358
9.265,1.351
9.37,1.349
9.476,1.322
9.581,1.3
9.686,1.305
9.792,1.315
9.897,1.327
10.002,1.327
10.108,1.334
10.213,1.375
10.318,1.376
10.423,1.323
10.529,1.268
10.634,1.182
10.739,1.102
10.845,1.027
10.95,0.908
11.055,0.847
11.16,0.727
11.266,0.598
11.371,0.524
11.476,0.432
11.582,0.407
11.687,0.367
11.792,0.348
11.897,0.337
12.003,0.306
12.108,0.26
12.213,0.209
12.319,0.201
12.424,0.184
12.529,0.164
12.634,0.151
12.74,0.115
12.845,0.066
12.95,0.047
13.056,0.031
13.161,0.029
13.266,0.018
13.371,0.016
13.477,0.01
13.582,0.01
13.687,-0.001
13.793,-0.002
13.898,0.002
14.003,0.004
14.108,-0.004
14.214,-0.002
14.319,-0.015
14.424,-0.021
14.53,-0.034
14.635,-0.036
14.74,-0.029
14.845,-0.026
14.951,-0.014
15.056,-0.018
15.161,-0.021
15.267,-0.028
15.372,-0.039
15.477,-0.046
15.582,-0.057
15.688,-0.056
15.793,-0.053
15.898,-0.051
16.004,-0.048
16.109,-0.042
16.214,-0.036
16.319,-0.033
16.425,-0.027
16.53,-0.024
16.635,-0.025
16.741,-0.025
