Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;Profile 5;Profile 5;
x;y;x;y;x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
3.7783235e-009;2.6817503e-010;3.7997988e-009;2.0050665e-010;3.7888681e-009;5.0164629e-010;3.7867011e-009;4.9513909e-010;3.7890806e-009;4.508043e-010;
3.8894507e-009;2.6864165e-010;3.9115576e-009;1.7880348e-010;3.9003054e-009;5.8160597e-010;3.8980747e-009;4.8643392e-010;3.9005241e-009;4.1305591e-010;
4.0005779e-009;3.0258294e-010;4.0233164e-009;1.8487856e-010;4.0117427e-009;6.9798172e-010;4.0094482e-009;4.9334836e-010;4.0119677e-009;3.6902005e-010;
4.111705e-009;3.6489874e-010;4.1350752e-009;2.0236212e-010;4.12318e-009;8.0465264e-010;4.1208218e-009;5.2548784e-010;4.1234112e-009;3.3300569e-010;
4.2228322e-009;4.4404528e-010;4.246834e-009;2.3133233e-010;4.2346173e-009;8.756113e-010;4.2321954e-009;5.8442907e-010;4.2348548e-009;3.1352786e-010;
4.3339594e-009;5.1770097e-010;4.3585928e-009;2.9018355e-010;4.3460546e-009;9.1549596e-010;4.3435689e-009;6.7677111e-010;4.3462983e-009;3.1641161e-010;
4.4450865e-009;5.6490209e-010;4.4703516e-009;3.8381889e-010;4.4574919e-009;9.4686066e-010;4.4549425e-009;8.0906775e-010;4.4577419e-009;3.3765317e-010;
4.5562137e-009;5.9773995e-010;4.5821104e-009;5.3821918e-010;4.5689292e-009;1.0086049e-009;4.5663161e-009;9.8585961e-010;4.5691854e-009;3.6007419e-010;
4.6673409e-009;6.416159e-010;4.6938691e-009;6.987371e-010;4.6803665e-009;1.097548e-009;4.6776896e-009;1.1887869e-009;4.680629e-009;3.8279123e-010;
4.778468e-009;7.2588324e-010;4.8056279e-009;8.4051751e-010;4.7918038e-009;1.1899622e-009;4.7890632e-009;1.3887386e-009;4.7920725e-009;4.0819874e-010;
4.8895952e-009;8.4808108e-010;4.9173867e-009;9.4294187e-010;4.9032411e-009;1.248371e-009;4.9004367e-009;1.5607517e-009;4.9035161e-009;4.4376606e-010;
5.0007223e-009;9.8166268e-010;5.0291455e-009;1.0124836e-009;5.0146784e-009;1.2457097e-009;5.0118103e-009;1.6930384e-009;5.0149596e-009;4.8224841e-010;
5.1118495e-009;1.0890104e-009;5.1409043e-009;1.0782377e-009;5.1261157e-009;1.2031652e-009;5.1231839e-009;1.7909794e-009;5.1264032e-009;5.206362e-010;
5.2229767e-009;1.1522756e-009;5.2526631e-009;1.1637308e-009;5.237553e-009;1.1556803e-009;5.2345574e-009;1.8769604e-009;5.2378467e-009;5.5030662e-010;
5.3341038e-009;1.1809739e-009;5.3644219e-009;1.2716921e-009;5.3489903e-009;1.1465992e-009;5.345931e-009;1.9500942e-009;5.3492902e-009;5.6767456e-010;
5.445231e-009;1.2085231e-009;5.4761807e-009;1.3835611e-009;5.4604276e-009;1.1764257e-009;5.4573046e-009;2.0067168e-009;5.4607338e-009;5.8084798e-010;
5.5563582e-009;1.2543189e-009;5.5879395e-009;1.4843352e-009;5.5718649e-009;1.2455824e-009;5.5686781e-009;2.0364002e-009;5.5721773e-009;6.2317784e-010;
5.6674853e-009;1.3410161e-009;5.6996982e-009;1.5790168e-009;5.6833021e-009;1.3277766e-009;5.6800517e-009;2.0531575e-009;5.6836209e-009;7.0536564e-010;
5.7786125e-009;1.4549609e-009;5.811457e-009;1.6762647e-009;5.7947394e-009;1.3873252e-009;5.7914252e-009;2.0786136e-009;5.7950644e-009;8.3091206e-010;
5.8897396e-009;1.5779971e-009;5.9232158e-009;1.7801624e-009;5.9061767e-009;1.4411215e-009;5.9027988e-009;2.1321461e-009;5.906508e-009;9.9640488e-010;
6.0008668e-009;1.6990614e-009;6.0349746e-009;1.8888656e-009;6.017614e-009;1.4906565e-009;6.0141724e-009;2.2147496e-009;6.0179515e-009;1.1931428e-009;
6.111994e-009;1.7976739e-009;6.1467334e-009;1.9883171e-009;6.1290513e-009;1.5631606e-009;6.1255459e-009;2.3018793e-009;6.1293951e-009;1.400037e-009;
6.2231211e-009;1.8602118e-009;6.2584922e-009;2.0610266e-009;6.2404886e-009;1.6762466e-009;6.2369195e-009;2.3611284e-009;6.2408386e-009;1.6051472e-009;
6.3342483e-009;1.8835126e-009;6.370251e-009;2.1194142e-009;6.3519259e-009;1.7987981e-009;6.3482931e-009;2.3825857e-009;6.3522822e-009;1.8009801e-009;
6.4453755e-009;1.8828229e-009;6.4820098e-009;2.1704014e-009;6.4633632e-009;1.9242986e-009;6.4596666e-009;2.3779317e-009;6.4637257e-009;1.9766528e-009;
6.5565026e-009;1.8828147e-009;6.5937686e-009;2.2219333e-009;6.5748005e-009;2.0311965e-009;6.5710402e-009;2.3773066e-009;6.5751693e-009;2.1105143e-009;
6.6676298e-009;1.9185493e-009;6.7055273e-009;2.2756292e-009;6.6862378e-009;2.1184198e-009;6.6824137e-009;2.3864498e-009;6.6866128e-009;2.2168923e-009;
6.778757e-009;1.9890173e-009;6.8172861e-009;2.3239241e-009;6.7976751e-009;2.1988383e-009;6.7937873e-009;2.4224965e-009;6.7980564e-009;2.3080848e-009;
6.8898841e-009;2.0818943e-009;6.9290449e-009;2.3625606e-009;6.9091124e-009;2.2823671e-009;6.9051609e-009;2.4744123e-009;6.9094999e-009;2.3878778e-009;
7.0010113e-009;2.1754374e-009;7.0408037e-009;2.3945264e-009;7.0205497e-009;2.3849233e-009;7.0165344e-009;2.5401647e-009;7.0209434e-009;2.4595481e-009;
7.1121384e-009;2.2490726e-009;7.1525625e-009;2.4200098e-009;7.131987e-009;2.4948412e-009;7.127908e-009;2.6090141e-009;7.132387e-009;2.514876e-009;
