Cross Section Length,DNA Height
nm,nm
50mv,38.7 pN
0,-0.077
0.105,-0.078
0.211,-0.075
0.316,-0.071
0.421,-0.079
0.526,-0.066
0.632,-0.077
0.737,-0.077
0.842,-0.111
0.947,-0.093
1.053,-0.104
1.158,-0.077
1.263,-0.092
1.369,-0.101
1.474,-0.096
1.579,-0.107
1.684,-0.112
1.79,-0.115
1.895,-0.107
2,-0.087
2.105,-0.08
2.211,-0.077
2.316,-0.098
2.421,-0.102
2.527,-0.084
2.632,-0.073
2.737,-0.069
2.842,-0.076
2.948,-0.069
3.053,-0.081
3.158,-0.079
3.263,-0.081
3.369,-0.089
3.474,-0.081
3.579,-0.07
3.685,-0.052
3.79,-0.082
3.895,-0.092
4,-0.102
4.106,-0.066
4.211,-0.063
4.316,-0.075
4.421,-0.093
4.527,-0.097
4.632,-0.104
4.737,-0.1
4.843,-0.092
4.948,-0.073
5.053,-0.078
5.158,-0.078
5.264,-0.081
5.369,-0.048
5.474,-0.037
5.58,-0.021
5.685,0
5.79,0.022
5.895,0.016
6.001,-0.004
6.106,0.012
6.211,0.048
6.316,0.092
6.422,0.126
6.527,0.163
6.632,0.23
6.738,0.279
6.843,0.297
6.948,0.313
7.053,0.357
7.159,0.406
7.264,0.453
7.369,0.501
7.474,0.58
7.58,0.692
7.685,0.8
7.79,0.897
7.896,0.945
8.001,0.991
8.106,1.043
8.211,1.141
8.317,1.182
8.422,1.239
8.527,1.321
8.632,1.456
8.738,1.504
8.843,1.513
8.948,1.496
9.054,1.478
9.159,1.535
9.264,1.595
9.369,1.709
9.475,1.77
9.58,1.783
9.685,1.757
9.79,1.697
9.896,1.679
10.001,1.702
10.106,1.713
10.212,1.718
10.317,1.689
10.422,1.7
10.527,1.692
10.633,1.7
10.738,1.671
10.843,1.601
10.948,1.505
11.054,1.451
11.159,1.47
11.264,1.474
11.37,1.457
11.475,1.425
11.58,1.373
11.685,1.368
11.791,1.358
11.896,1.302
12.001,1.155
12.106,1.108
12.212,1.05
12.317,0.96
12.422,0.929
12.528,0.939
12.633,0.934
12.738,0.913
12.843,0.788
12.949,0.725
13.054,0.617
13.159,0.438
13.264,0.294
13.37,0.149
13.475,0.093
13.58,0.057
13.686,0.028
13.791,0.007
13.896,-0.023
14.001,-0.044
14.107,-0.056
14.212,-0.066
14.317,-0.065
14.423,-0.096
14.528,-0.095
14.633,-0.105
14.738,-0.091
14.844,-0.106
14.949,-0.119
15.054,-0.131
15.159,-0.129
15.265,-0.147
15.37,-0.159
15.475,-0.147
15.581,-0.144
15.686,-0.149
15.791,-0.15
15.896,-0.15
16.002,-0.117
16.107,-0.114
16.212,-0.113
16.317,-0.106
16.423,-0.104
16.528,-0.115
16.633,-0.118
16.739,-0.107
16.844,-0.116
16.949,-0.115
17.054,-0.121
17.16,-0.132
17.265,-0.123
17.37,-0.143
17.475,-0.117
17.581,-0.099
17.686,-0.065
17.791,-0.049
17.897,-0.049
18.002,-0.043
18.107,-0.028
18.212,-0.024
18.318,-0.023
18.423,-0.02
18.528,-0.02
18.633,-0.01
18.739,-0.018
18.844,-0.014
18.949,-0.02
19.055,-0.017
19.16,-0.031
19.265,-0.043
19.37,-0.046
19.476,-0.018
19.581,-0.019
19.686,-0.025
