Cross Section Length,DNA Height
nm,nm
90 mv,70 pN
0,-0.024
0.105,-0.024
0.211,-0.029
0.316,-0.028
0.421,-0.025
0.526,-0.018
0.632,-0.016
0.737,-0.014
0.842,-0.011
0.947,-0.02
1.053,-0.02
1.158,-0.027
1.263,-0.031
1.369,-0.051
1.474,-0.056
1.579,-0.065
1.684,-0.072
1.79,-0.069
1.895,-0.064
2,-0.057
2.105,-0.066
2.211,-0.076
2.316,-0.082
2.421,-0.088
2.526,-0.092
2.632,-0.098
2.737,-0.093
2.842,-0.09
2.948,-0.093
3.053,-0.09
3.158,-0.092
3.263,-0.083
3.369,-0.08
3.474,-0.083
3.579,-0.085
3.684,-0.088
3.79,-0.083
3.895,-0.083
4,-0.07
4.106,-0.058
4.211,-0.053
4.316,-0.067
4.421,-0.075
4.527,-0.063
4.632,-0.056
4.737,-0.045
4.842,-0.033
4.948,-0.033
5.053,-0.014
5.158,-0.015
5.263,0
5.369,0.008
5.474,0.017
5.579,0.035
5.685,0.082
5.79,0.145
5.895,0.244
6,0.452
6.106,0.59
6.211,0.711
6.316,0.843
6.421,0.917
6.527,0.911
6.632,0.851
6.737,0.846
6.843,0.892
6.948,1.001
7.053,1.115
7.158,1.202
7.264,1.241
7.369,1.325
7.474,1.498
7.579,1.574
7.685,1.614
7.79,1.602
7.895,1.613
8,1.597
8.106,1.591
8.211,1.567
8.316,1.55
8.422,1.562
8.527,1.57
8.632,1.605
8.737,1.617
8.843,1.61
8.948,1.578
9.053,1.526
9.158,1.486
9.264,1.475
9.369,1.526
9.474,1.535
9.58,1.535
9.685,1.486
9.79,1.448
9.895,1.389
10.001,1.386
10.106,1.401
10.211,1.405
10.316,1.37
10.422,1.34
10.527,1.265
10.632,1.195
10.737,1.11
10.843,1.03
10.948,0.977
11.053,0.888
11.159,0.799
11.264,0.704
11.369,0.62
11.474,0.559
11.58,0.492
11.685,0.397
11.79,0.258
11.895,0.163
12.001,0.132
12.106,0.083
12.211,0.078
12.317,0.061
12.422,0.064
12.527,0.05
12.632,0.05
12.738,0.045
12.843,0.034
12.948,0.026
13.053,0.024
13.159,0.035
13.264,0.031
13.369,0.019
13.475,0.013
13.58,0.015
13.685,0.016
13.79,0.008
13.896,0
14.001,-0.007
14.106,-0.002
14.211,-0.012
14.317,-0.005
14.422,-0.001
14.527,0.027
14.632,0.01
14.738,0.01
14.843,-0.001
14.948,-0.008
15.054,-0.011
15.159,-0.011
15.264,-0.01
15.369,-0.009
15.475,-0.011
15.58,-0.021
15.685,-0.049
15.79,-0.066
15.896,-0.071
16.001,-0.066
16.106,-0.075
16.212,-0.079
16.317,-0.084
16.422,-0.086
16.527,-0.093
16.633,-0.084
16.738,-0.079
16.843,-0.076
16.948,-0.072
17.054,-0.069
17.159,-0.06
17.264,-0.052
17.369,-0.055
17.475,-0.05
17.58,-0.055
17.685,-0.06
17.791,-0.079
17.896,-0.082
18.001,-0.065
