Cross Section Length,DNA Height
nm,nm
110 mv,85 pN
0,-0.075
0.105,-0.069
0.211,-0.069
0.316,-0.074
0.421,-0.064
0.526,-0.069
0.632,-0.054
0.737,-0.06
0.842,-0.063
0.947,-0.066
1.053,-0.073
1.158,-0.059
1.263,-0.052
1.368,-0.053
1.474,-0.057
1.579,-0.063
1.684,-0.065
1.79,-0.055
1.895,-0.06
2,-0.069
2.105,-0.076
2.211,-0.08
2.316,-0.083
2.421,-0.08
2.526,-0.067
2.632,-0.067
2.737,-0.06
2.842,-0.074
2.947,-0.078
3.053,-0.085
3.158,-0.073
3.263,-0.064
3.369,-0.052
3.474,-0.055
3.579,-0.052
3.684,-0.047
3.79,-0.041
3.895,-0.035
4,-0.097
4.105,-0.099
4.211,-0.094
4.316,-0.033
4.421,-0.025
4.527,-0.027
4.632,-0.013
4.737,-0.014
4.842,0.007
4.948,0.024
5.053,0.053
5.158,0.093
5.263,0.13
5.369,0.15
5.474,0.172
5.579,0.189
5.684,0.216
5.79,0.226
5.895,0.24
6,0.265
6.106,0.287
6.211,0.326
6.316,0.387
6.421,0.435
6.527,0.487
6.632,0.617
6.737,0.789
6.842,0.857
6.948,0.922
7.053,0.986
7.158,1.102
7.263,1.254
7.369,1.375
7.474,1.37
7.579,1.28
7.685,1.329
7.79,1.554
7.895,1.613
8,1.625
8.106,1.616
8.211,1.602
8.316,1.584
8.421,1.511
8.527,1.514
8.632,1.477
8.737,1.55
8.842,1.524
8.948,1.553
9.053,1.542
9.158,1.551
9.264,1.53
9.369,1.536
9.474,1.525
9.579,1.551
9.685,1.558
9.79,1.606
9.895,1.58
10,1.553
10.106,1.532
10.211,1.49
10.316,1.483
10.422,1.427
10.527,1.411
10.632,1.377
10.737,1.297
10.843,1.093
10.948,0.964
11.053,0.83
11.158,0.71
11.264,0.605
11.369,0.577
11.474,0.528
11.579,0.433
11.685,0.4
11.79,0.341
11.895,0.276
12.001,0.127
12.106,0.083
12.211,0.057
12.316,0.048
12.422,0.045
12.527,0.026
12.632,-0.001
12.737,0
12.843,0.004
12.948,0.005
13.053,0.002
13.158,-0.014
13.264,-0.005
13.369,-0.001
13.474,-0.021
13.58,-0.029
13.685,-0.039
13.79,-0.008
13.895,-0.007
14.001,-0.019
14.106,-0.022
14.211,-0.024
14.316,-0.015
14.422,-0.009
14.527,-0.008
14.632,-0.007
14.737,-0.025
14.843,-0.026
14.948,-0.029
15.053,-0.028
15.159,-0.031
15.264,-0.034
15.369,-0.037
15.474,-0.047
15.58,-0.053
15.685,-0.049
15.79,-0.061
15.895,-0.079
16.001,-0.08
16.106,-0.082
16.211,-0.077
16.317,-0.078
16.422,-0.083
16.527,-0.083
16.632,-0.079
16.738,-0.079
16.843,-0.073
16.948,-0.069
17.053,-0.063
17.159,-0.055
17.264,-0.053
